key,strategy_code,variable_group,influence_status,permitted_rules,priority,scientific_interpretation
BASE|Circularity,BASE,Circularity,Retain_BASE,L6,10,Reference configuration.
BASE|Context / denominator,BASE,Context / denominator,Retain_BASE,L6,10,Reference configuration.
BASE|Economic,BASE,Economic,Retain_BASE,L6,10,Reference configuration.
BASE|Energy,BASE,Energy,Retain_BASE,L6,10,Reference configuration.
BASE|GHG,BASE,GHG,Retain_BASE,L6,10,Reference configuration.
BASE|Logistics,BASE,Logistics,Retain_BASE,L6,10,Reference configuration.
BASE|Operations,BASE,Operations,Retain_BASE,L6,10,Reference configuration.
BASE|Other,BASE,Other,Retain_BASE,L6,10,Reference configuration.
BASE|Social,BASE,Social,Retain_BASE,L6,10,Reference configuration.
BASE|Technological,BASE,Technological,Retain_BASE,L6,10,Reference configuration.
BASE|Water,BASE,Water,Retain_BASE,L6,10,Reference configuration.
LEAN_GREEN|Circularity,LEAN_GREEN,Circularity,Direct_or_scaled,L1-L3,45,Process waste/material improvement.
LEAN_GREEN|Context / denominator,LEAN_GREEN,Context / denominator,Retain_BASE,L6,10,No defensible causal path is encoded.
LEAN_GREEN|Economic,LEAN_GREEN,Economic,Retain_BASE,L6,10,No defensible causal path is encoded.
LEAN_GREEN|Energy,LEAN_GREEN,Energy,Direct_or_scaled,L1-L3,50,VSM-C or measured process improvement.
LEAN_GREEN|GHG,LEAN_GREEN,GHG,Direct_or_derived,L1-L2,45,Use quantified carbon evidence or linked MRV calculation.
LEAN_GREEN|Logistics,LEAN_GREEN,Logistics,Direct_or_bridge,L1-L4,40,Only when dispatch or process-flow evidence exists.
LEAN_GREEN|Operations,LEAN_GREEN,Operations,Direct,L1,60,Direct process/OEE evidence.
LEAN_GREEN|Other,LEAN_GREEN,Other,Retain_BASE,L6,10,No defensible causal path is encoded.
LEAN_GREEN|Social,LEAN_GREEN,Social,Assumed,L5,20,"Only limited, approved participation effects."
LEAN_GREEN|Technological,LEAN_GREEN,Technological,Retain_BASE,L6,10,No defensible causal path is encoded.
LEAN_GREEN|Water,LEAN_GREEN,Water,Retain_BASE,L6,10,No defensible causal path is encoded.
ENERGY_TRANSITION|Circularity,ENERGY_TRANSITION,Circularity,Retain_BASE,L6,10,No defensible causal path is encoded.
ENERGY_TRANSITION|Context / denominator,ENERGY_TRANSITION,Context / denominator,Retain_BASE,L6,10,No defensible causal path is encoded.
ENERGY_TRANSITION|Economic,ENERGY_TRANSITION,Economic,Conditional,L1-L5,20,Only quantified costs or investments.
ENERGY_TRANSITION|Energy,ENERGY_TRANSITION,Energy,Direct,L1,60,Energy-policy output or measured value.
ENERGY_TRANSITION|GHG,ENERGY_TRANSITION,GHG,Direct_or_derived,L1-L2,55,Direct carbon result or factor-based MRV calculation.
ENERGY_TRANSITION|Logistics,ENERGY_TRANSITION,Logistics,Retain_BASE,L6,10,No defensible causal path is encoded.
ENERGY_TRANSITION|Operations,ENERGY_TRANSITION,Operations,Retain_BASE,L6,10,No defensible causal path is encoded.
ENERGY_TRANSITION|Other,ENERGY_TRANSITION,Other,Retain_BASE,L6,10,No defensible causal path is encoded.
ENERGY_TRANSITION|Social,ENERGY_TRANSITION,Social,Retain_BASE,L6,10,No defensible causal path is encoded.
ENERGY_TRANSITION|Technological,ENERGY_TRANSITION,Technological,Retain_BASE,L6,10,No defensible causal path is encoded.
ENERGY_TRANSITION|Water,ENERGY_TRANSITION,Water,Retain_BASE,L6,10,No defensible causal path is encoded.
COST_ALLOCATION|Circularity,COST_ALLOCATION,Circularity,Retain_BASE,L6,10,No defensible causal path is encoded.
COST_ALLOCATION|Context / denominator,COST_ALLOCATION,Context / denominator,Direct,L1,50,MILP output quantity when modelled.
COST_ALLOCATION|Economic,COST_ALLOCATION,Economic,Direct,L1,60,MILP cost output.
COST_ALLOCATION|Energy,COST_ALLOCATION,Energy,Direct,L1,55,MILP activity/energy output.
COST_ALLOCATION|GHG,COST_ALLOCATION,GHG,Direct,L1,55,MILP carbon output.
COST_ALLOCATION|Logistics,COST_ALLOCATION,Logistics,Direct,L1,55,MILP allocation/transport output.
COST_ALLOCATION|Operations,COST_ALLOCATION,Operations,Retain_BASE,L6,10,No defensible causal path is encoded.
COST_ALLOCATION|Other,COST_ALLOCATION,Other,Retain_BASE,L6,10,No defensible causal path is encoded.
COST_ALLOCATION|Social,COST_ALLOCATION,Social,Retain_BASE,L6,10,No defensible causal path is encoded.
COST_ALLOCATION|Technological,COST_ALLOCATION,Technological,Retain_BASE,L6,10,No defensible causal path is encoded.
COST_ALLOCATION|Water,COST_ALLOCATION,Water,Retain_BASE,L6,10,No defensible causal path is encoded.
TRANSPORT_OPT|Circularity,TRANSPORT_OPT,Circularity,Retain_BASE,L6,10,No defensible causal path is encoded.
TRANSPORT_OPT|Context / denominator,TRANSPORT_OPT,Context / denominator,Retain_BASE,L6,10,No defensible causal path is encoded.
TRANSPORT_OPT|Economic,TRANSPORT_OPT,Economic,Direct,L1,55,Quantified logistics cost.
TRANSPORT_OPT|Energy,TRANSPORT_OPT,Energy,Retain_BASE,L6,10,No defensible causal path is encoded.
TRANSPORT_OPT|GHG,TRANSPORT_OPT,GHG,Direct,L1,55,Quantified transport emissions.
TRANSPORT_OPT|Logistics,TRANSPORT_OPT,Logistics,Direct,L1,60,MILP or DES transport output.
TRANSPORT_OPT|Operations,TRANSPORT_OPT,Operations,Retain_BASE,L6,10,No defensible causal path is encoded.
TRANSPORT_OPT|Other,TRANSPORT_OPT,Other,Retain_BASE,L6,10,No defensible causal path is encoded.
TRANSPORT_OPT|Social,TRANSPORT_OPT,Social,Retain_BASE,L6,10,No defensible causal path is encoded.
TRANSPORT_OPT|Technological,TRANSPORT_OPT,Technological,Retain_BASE,L6,10,No defensible causal path is encoded.
TRANSPORT_OPT|Water,TRANSPORT_OPT,Water,Retain_BASE,L6,10,No defensible causal path is encoded.
LOGISTICS_REDESIGN|Circularity,LOGISTICS_REDESIGN,Circularity,Scaled,L3,35,Only if volume changes and process intensity is unchanged.
LOGISTICS_REDESIGN|Context / denominator,LOGISTICS_REDESIGN,Context / denominator,Direct,L1,55,Shipped or delivered volume.
LOGISTICS_REDESIGN|Economic,LOGISTICS_REDESIGN,Economic,Direct,L1,55,DES logistics cost.
LOGISTICS_REDESIGN|Energy,LOGISTICS_REDESIGN,Energy,Scaled,L3,35,Only if volume changes and process intensity is unchanged.
LOGISTICS_REDESIGN|GHG,LOGISTICS_REDESIGN,GHG,Direct_or_bridge,L1-L4,55,DES transport emissions.
LOGISTICS_REDESIGN|Logistics,LOGISTICS_REDESIGN,Logistics,Direct_or_bridge,L1-L4,60,DES output or documented bridge.
LOGISTICS_REDESIGN|Operations,LOGISTICS_REDESIGN,Operations,Retain_BASE,L6,10,No defensible causal path is encoded.
